"Type","Subpopulation","Indicator","Category","NResp","Estimate.P","StdError.P","LCB95Pct.P","UCB95Pct.P","Estimate.U","StdError.U","LCB95Pct.U","UCB95Pct.U"
"strata","Bay","B13_SQO_Tox...c.3..","1",25,83.0888959968999,4.96527112080835,73.3571434266387,92.820648567161,59.051384212,4.96938122203605,49.3115759913597,68.7911924326403
"strata","Bay","B13_SQO_Tox...c.3..","2",3,8.45555200155007,3.19204021961647,2.19926813389846,14.7118358692017,6.009371577,2.24864036022367,1.60211745677844,10.4166256972216
"strata","Bay","B13_SQO_Tox...c.3..","3",1,2.81851733385002,2.49102591604924,0,7.70083841386243,2.003123859,1.76754551457284,0,5.46744940859808
"strata","Bay","B13_SQO_Tox...c.3..","4",2,5.63703466770005,3.48300272426167,0,12.4635945653078,4.006247718,2.46727231469661,0,8.84201259485812
"strata","Bay","B13_SQO_Tox...c.3..","Total",31,100,0,100,100,71.070127366,3.55000876606501,64.1122380397111,78.0280166922889
"strata","Estuaries","B13_SQO_Tox...c.3..","1",26,54.0648236500809,7.04653411375045,40.2538705712971,67.8757767288646,5.517918598,0.824888921729407,3.90116602016428,7.13467117583572
"strata","Estuaries","B13_SQO_Tox...c.3..","2",9,26.8602581863766,6.51376623026777,14.0935109713385,39.6270054014146,2.741389099,0.652280433682758,1.46294294116163,4.01983525683837
"strata","Estuaries","B13_SQO_Tox...c.3..","3",4,12.6554050966047,4.99647855910122,2.86248707123976,22.4483231219697,1.29162532,0.504116168326612,0.303575786055509,2.27967485394449
"strata","Estuaries","B13_SQO_Tox...c.3..","4",2,6.4195130669378,3.50682230182471,0,13.2927584786961,0.655182948,0.356860460050933,0,1.35461659720622
"strata","Estuaries","B13_SQO_Tox...c.3..","Total",41,100,0,100,100,10.206115965,0.426730194785024,9.36974015210559,11.0424917778944
"strata","Marina","B13_SQO_Tox...c.3..","1",23,74.7060914899032,7.420144566887,60.1628753787241,89.2493076010823,11.234512628,1.13614867488019,9.00770214415192,13.4613231118481
"strata","Marina","B13_SQO_Tox...c.3..","2",6,15.151976791735,5.18992886688713,4.9799031303114,25.3240504531585,2.278596982,0.779854687262822,0.750109881790121,3.80708408220988
"strata","Marina","B13_SQO_Tox...c.3..","3",2,5.90597337140979,3.81007751022071,0,13.3735880697484,0.888156924,0.572416986858898,0,2.01007360238238
"strata","Marina","B13_SQO_Tox...c.3..","4",1,4.2359583469521,3.67003489345442,0,11.4290945601281,0.637015357,0.551841531283829,0,1.71860488348974
"strata","Marina","B13_SQO_Tox...c.3..","Total",32,100,0,100,100,15.038281891,0.205513631945543,14.6354825740547,15.4410812079453
"strata","Port","B13_SQO_Tox...c.3..","1",25,81.8944409993741,6.54620073631508,69.064123320627,94.7247586781212,21.041707143,1.68966784763918,17.7300190157919,24.3533952702081
"strata","Port","B13_SQO_Tox...c.3..","2",5,18.1055590006259,6.54620073631508,5.27524132187876,30.935876679373,4.651986942,1.70101511514638,1.31805857915484,7.98591530484516
"strata","Port","B13_SQO_Tox...c.3..","Total",30,100,0,100,100,25.693694085,0.622699996154749,24.4732245193635,26.9141636506365
